# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  270,20161014,   85,  105,   64
  270,20161015,  102,  131,   80
  270,20161016,  126,  174,   76
  270,20161017,  122,  165,   89
  270,20161018,   98,  129,   55
  270,20161019,   89,  115,   51
  270,20161020,   90,  120,   12
  270,20161021,   82,  120,   12
  270,20161022,   70,  117,    5
  270,20161023,   72,  115,    3
  270,20161024,   63,   91,   11
  270,20161025,   73,  120,  -15
  270,20161026,   75,  116,  -22
  270,20161027,  122,  154,   86
  270,20161028,  121,  158,   48
  270,20161029,   89,  137,   22
  270,20161030,  106,  125,   30
  270,20161031,  111,  157,   54
  270,20161101,   97,  136,   38
  270,20161102,   80,  112,   28
  270,20161103,   77,  110,   16
  270,20161104,   80,   97,   68
  270,20161105,   65,  100,   27
  270,20161106,   68,  110,    9
  270,20161107,   41,   62,    1
  270,20161108,   15,   33,  -38
  270,20161109,   25,   41,    6
  270,20161110,   19,   33,   -4
  270,20161111,   19,   67,  -48
  270,20161112,   14,   39,  -19
  270,20161113,   23,   35,    1
  270,20161114,   33,   70,   -7
  270,20161115,   99,  125,   46
  270,20161116,  101,  128,   52
  270,20161117,   73,   97,   22
  270,20161118,   59,   86,   32
  270,20161119,   46,   71,   24
  270,20161120,   70,  100,   34
  270,20161121,  108,  130,   61
  270,20161122,  100,  118,   34
  270,20161123,   76,   93,   12
  270,20161124,   59,   88,   10
  270,20161125,   36,   75,    1
  270,20161126,   33,   87,  -39
  270,20161127,   58,  101,  -44
  270,20161128,   -8,   46,  -80
  270,20161129,  -19,   30,  -86
  270,20161130,   55,   84,  -22
  270,20161201,   85,   95,   59
  270,20161202,   54,   89,  -30
  270,20161203,   23,   84,  -63
  270,20161204,  -12,   40,  -80
  270,20161205,  -34,   35,  -97
  270,20161206,  -15,   30,  -98
  270,20161207,   48,   66,   15
  270,20161208,   71,   97,   38
  270,20161209,   89,  100,   74
  270,20161210,   86,  104,   64
  270,20161211,   77,   93,   52
  270,20161212,   70,   89,   30
  270,20161213,   59,   68,   39
  270,20161214,   78,   85,   65
  270,20161215,   67,   85,   55
  270,20161216,   47,   59,   23
  270,20161217,   54,   84,   10
  270,20161218,   57,   89,   10
  270,20161219,   49,   83,  -11
  270,20161220,    4,   33,  -31
  270,20161221,   39,   57,    5
  270,20161222,   55,   75,   30
  270,20161223,   54,   74,   25
  270,20161224,   76,   93,   49
  270,20161225,   97,  110,   81
  270,20161226,   78,  107,   50
  270,20161227,   68,   89,   22
  270,20161228,   45,   78,    6
  270,20161229,    4,   26,   -7
  270,20161230,   19,   51,  -15
