# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# Q        = Globale straling (in J/cm2); 
# 
# STN,YYYYMMDD,    Q
# 
  270,20151123,  263
  270,20151124,   34
  270,20151125,  287
  270,20151126,  396
  270,20151127,  108
  270,20151128,  324
  270,20151129,  118
  270,20151130,   88
  270,20151201,  166
  270,20151202,  104
  270,20151203,  201
  270,20151204,  345
  270,20151205,  162
  270,20151206,  204
  270,20151207,   64
  270,20151208,  266
  270,20151209,  325
  270,20151210,  223
  270,20151211,  102
  270,20151212,  242
  270,20151213,  269
  270,20151214,  122
  270,20151215,  212
  270,20151216,   42
  270,20151217,  186
  270,20151218,  239
  270,20151219,   79
  270,20151220,  156
  270,20151221,  245
  270,20151222,   52
  270,20151223,  287
  270,20151224,  151
  270,20151225,  173
  270,20151226,  214
  270,20151227,   38
  270,20151228,  234
  270,20151229,  186
  270,20151230,  302
  270,20151231,  241
  380,20150101,  422
  380,20150102,  159
  380,20150103,   65
  380,20150104,  396
  380,20150105,  366
  380,20150106,  364
  380,20150107,  368
  380,20150108,   45
  380,20150109,   65
  380,20150110,   71
  380,20150111,  182
  380,20150112,   83
  380,20150113,  174
  380,20150114,  152
  380,20150115,  109
  380,20150116,  295
  380,20150117,  480
  380,20150118,  368
  380,20150119,  204
  380,20150120,  318
  380,20150121,  515
  380,20150122,  133
  380,20150123,  143
  380,20150124,  218
  380,20150125,  247
  380,20150126,   69
  380,20150127,  238
  380,20150128,  188
  380,20150129,  284
  380,20150130,  367
  380,20150131,  391
  380,20150201,  119
  380,20150202,  163
  380,20150203,  312
  380,20150204,  564
  380,20150205,  460
  380,20150206,  642
  380,20150207,  800
  380,20150208,  438
  380,20150209,  129
  380,20150210,  141
  380,20150211,  630
  380,20150212,  886
  380,20150213,  855
  380,20150214,  556
  380,20150215,  932
  380,20150216,  881
  380,20150217,  181
  380,20150218,  440
  380,20150219,  794
  380,20150220,  181
  380,20150221,  451
  380,20150222,  554
  380,20150223,  418
  380,20150224,  493
  380,20150225,  490
  380,20150226,  679
  380,20150227,  742
  380,20150228, 1084
  380,20150301,  702
  380,20150302,  847
  380,20150303,  433
  380,20150304,  762
  380,20150305,  777
  380,20150306,  786
  380,20150307,  987
  380,20150308, 1401
  380,20150309,  523
  380,20150310,  688
  380,20150311, 1323
  380,20150312, 1519
  380,20150313, 1493
  380,20150314,  782
  380,20150315,  333
  380,20150316, 1180
  380,20150317, 1523
  380,20150318, 1409
  380,20150319,  203
  380,20150320,  585
  380,20150321,  543
  380,20150322,  915
  380,20150323, 1468
  380,20150324, 1228
  380,20150325,  344
  380,20150326,  796
  380,20150327,  849
  380,20150328,  594
  380,20150329,  256
  380,20150330, 1281
  380,20150331, 1189
  380,20150401, 1336
  380,20150402, 1294
  380,20150403, 1039
  380,20150404, 1003
  380,20150405, 1711
  380,20150406,  868
  380,20150407, 1770
  380,20150408, 1420
  380,20150409, 2018
  380,20150410, 2036
  380,20150411,  487
  380,20150412, 2068
  380,20150413, 1735
  380,20150414, 2129
  380,20150415, 2193
  380,20150416, 1879
  380,20150417, 1956
  380,20150418, 2314
  380,20150419, 2195
  380,20150420, 2308
  380,20150421, 2372
  380,20150422, 1983
  380,20150423, 2311
  380,20150424, 2237
  380,20150425,  937
  380,20150426,  935
  380,20150427,  676
  380,20150428, 1837
  380,20150429, 1586
  380,20150430,  948
  380,20150501, 2113
  380,20150502, 1778
  380,20150503,  728
  380,20150504, 1681
  380,20150505, 1733
  380,20150506, 1874
  380,20150507, 1779
  380,20150508, 2006
  380,20150509, 1881
  380,20150510, 2224
  380,20150511, 2279
  380,20150512, 1865
  380,20150513, 2611
  380,20150514, 2086
  380,20150515, 2439
  380,20150516,  681
  380,20150517, 1898
  380,20150518, 2192
  380,20150519, 1952
  380,20150520, 1692
  380,20150521, 2257
  380,20150522, 2501
  380,20150523, 1351
  380,20150524, 2499
  380,20150525, 1272
  380,20150526, 1641
  380,20150527, 2244
  380,20150528, 1564
  380,20150529, 1576
  380,20150530, 1903
  380,20150531, 1029
  380,20150601, 2221
  380,20150602,  821
  380,20150603, 2132
  380,20150604, 2906
  380,20150605, 2654
  380,20150606, 2320
  380,20150607, 2978
  380,20150608, 2695
  380,20150609, 2495
  380,20150610, 2741
  380,20150611, 2930
  380,20150612, 2155
  380,20150613, 2217
  380,20150614, 2612
  380,20150615, 1697
  380,20150616, 2148
  380,20150617, 2534
  380,20150618, 1916
  380,20150619,  815
  380,20150620, 1239
  380,20150621, 1560
  380,20150622,  559
  380,20150623, 1374
  380,20150624, 1964
  380,20150625, 2684
  380,20150626, 1792
  380,20150627, 1879
  380,20150628, 2321
  380,20150629, 2609
  380,20150630, 2902
  380,20150701, 2695
  380,20150702, 2559
  380,20150703, 2670
  380,20150704, 2331
  380,20150705, 1873
  380,20150706, 2841
  380,20150707, 1686
  380,20150708, 1341
  380,20150709, 1989
  380,20150710, 2896
  380,20150711, 2672
  380,20150712, 1114
  380,20150713,  394
  380,20150714,  924
  380,20150715, 1450
  380,20150716, 2148
  380,20150717, 2666
  380,20150718, 2421
  380,20150719, 1009
  380,20150720,  863
  380,20150721, 1286
  380,20150722, 2039
  380,20150723, 1860
  380,20150724, 1652
  380,20150725,  756
  380,20150726, 1677
  380,20150727, 1052
  380,20150728, 1006
  380,20150729, 2138
  380,20150730, 1399
  380,20150731, 2557
  380,20150801, 2506
  380,20150802, 2509
  380,20150803, 2470
  380,20150804,  677
  380,20150805, 2470
  380,20150806, 2408
  380,20150807, 2181
  380,20150808, 1341
  380,20150809, 1260
  380,20150810, 1031
  380,20150811, 2010
  380,20150812, 1635
  380,20150813, 2045
  380,20150814, 1641
  380,20150815,  656
  380,20150816,  721
  380,20150817,  463
  380,20150818, 1172
  380,20150819, 1733
  380,20150820, 2080
  380,20150821, 2186
  380,20150822, 2086
  380,20150823, 1482
  380,20150824, 1315
  380,20150825, 1394
  380,20150826, 2024
  380,20150827,  387
  380,20150828, 1723
  380,20150829, 1979
  380,20150830, 1869
  380,20150831, 1933
  380,20150901,  650
  380,20150902, 1233
  380,20150903, 1322
  380,20150904, 1167
  380,20150905,  879
  380,20150906,  977
  380,20150907,  635
  380,20150908,  508
  380,20150909, 1564
  380,20150910, 1870
  380,20150911, 1742
  380,20150912,  563
  380,20150913,  673
  380,20150914, 1108
  380,20150915, 1243
  380,20150916,  381
  380,20150917,  638
  380,20150918, 1250
  380,20150919,  554
  380,20150920, 1159
  380,20150921, 1194
  380,20150922,  629
  380,20150923,  216
  380,20150924,  906
  380,20150925,  987
  380,20150926, 1360
  380,20150927, 1453
  380,20150928, 1351
  380,20150929, 1452
  380,20150930, 1479
  380,20151001, 1466
  380,20151002, 1429
  380,20151003,  896
  380,20151004,  642
  380,20151005,  582
  380,20151006,  533
  380,20151007,  317
  380,20151008,  350
  380,20151009,  735
  380,20151010,  340
  380,20151011, 1180
  380,20151012,  982
  380,20151013,  241
  380,20151014,  272
  380,20151015,  202
  380,20151016,  362
  380,20151017,  345
  380,20151018,  574
  380,20151019,  224
  380,20151020,  258
  380,20151021,  519
  380,20151022,  230
  380,20151023,  451
  380,20151024,  477
  380,20151025,  376
  380,20151026,  908
  380,20151027,  840
  380,20151028,  262
  380,20151029,  717
  380,20151030,  621
  380,20151031,  824
  380,20151101,  801
  380,20151102,  814
  380,20151103,  651
  380,20151104,  472
  380,20151105,  377
  380,20151106,  364
  380,20151107,  217
  380,20151108,  534
  380,20151109,  419
  380,20151110,  142
  380,20151111,  207
  380,20151112,  369
  380,20151113,  237
  380,20151114,  309
  380,20151115,  184
  380,20151116,  111
  380,20151117,  301
  380,20151118,  411
  380,20151119,  131
  380,20151120,   62
  380,20151121,  220
  380,20151122,  321
  380,20151123,  499
  380,20151124,  185
  380,20151125,  229
  380,20151126,  468
  380,20151127,  454
  380,20151128,  450
  380,20151129,  127
  380,20151130,   62
  380,20151201,   70
  380,20151202,  235
  380,20151203,  422
  380,20151204,  321
  380,20151205,  234
  380,20151206,  239
  380,20151207,  323
  380,20151208,  382
  380,20151209,  402
  380,20151210,  454
  380,20151211,   60
  380,20151212,  210
  380,20151213,   52
  380,20151214,  376
  380,20151215,  217
  380,20151216,   49
  380,20151217,  278
  380,20151218,  136
  380,20151219,  274
  380,20151220,  211
  380,20151221,  221
  380,20151222,  223
  380,20151223,  303
  380,20151224,  300
  380,20151225,   44
  380,20151226,  419
  380,20151227,  329
  380,20151228,  412
  380,20151229,  227
  380,20151230,  387
  380,20151231,  373
